Wavelength [nm],#22-BP520-âˆ†28.csv
400.08,0.027646210122855903
400.29,0.04264863585788157
400.5,0.025566724919964007
400.71,0.06590088355296579
400.92,0.04711130013011939
401.13,0.0696228113194329
401.34,-0.02152376488889105
401.54,0.06214869402889135
401.75,0.03374866169100196
401.96,0.010103466894971668
402.17,0.009509914310333037
402.38,0.06146923555003113
402.59,0.023095687568652302
402.8,0.08551212624326972
403.01,0.022214244477972583
403.22,0.03755612272497042
403.43,-0.0007288738155799956
403.63,0.02218432514401164
403.84,0.03574788775247507
404.05,0.0326513177156077
404.26,0.008464966144840845
404.47,0.05374100684190168
404.68,0.007663047413774789
404.89,0.01691079276352698
405.1,0.06179531102191092
405.31,0.026723076578694112
405.52,0.027940178341563933
405.72,0.0142948715075285
405.93,0.08161145859276982
406.14,0.023337832740229745
406.35,0.04649147342984098
406.56,0.05575624177294409
406.77,0.018169172473906984
406.98,0.021441485830246944
407.19,0.04066674175019714
407.39,0.0714403657173051
407.6,0.05739831234053071
407.81,0.04562384043453925
408.02,0.0005580095670953724
408.23,0.03214589931200179
408.44,0.09803176051607675
408.65,0.05609274254824918
408.86,0.03673572051189763
409.06,-0.0017996807154683154
409.27,0.019376055862146687
409.48,0.0511744504622004
409.69,0.03919414714629968
409.9,0.04582792353871275
410.11,0.02475151042681743
410.32,0.061978334221275126
410.52,0.028406315112593943
410.73,0.04607006121655103
410.94,0.021890784679281648
411.15,0.03252102670298836
411.36,0.04585134603071078
411.57,0.032333684571942786
411.78,0.021841673089105836
411.98,0.0005419650577338038
412.19,0.025435149935872686
412.4,0.02373897861543177
412.61,0.040819520089157964
412.82,0.04881822331559966
413.03,0.019119876069464612
413.23,0.0611217028765373
413.44,0.007529307379056099
413.65,0.03349374612727405
413.86,0.013712608718007582
414.07,0.0004921537172633657
414.28,0.01207097451038125
414.48,0.03376420460207189
414.69,0.01970324268946389
414.9,0.04066456128571377
415.11,-0.0005415182403235445
415.32,0.060751138967062496
415.53,0.03976472075461881
415.73,0.03474823217839509
415.94,0.010647208353907247
416.15,0.0490476353185496
416.36,0.03506781788100689
416.57,0.02892032022449334
416.78,0.03246225599507263
416.98,0.03802366030201383
417.19,0.01353250873560481
417.4,0.03645930429423115
417.61,0.03179148449081463
417.82,0.028811800879029712
418.02,0.03765855107991164
418.23,0.03700891732764886
418.44,0.055851868301853604
418.65,0.05335308425229974
418.86,0.02263336024466782
419.07,0.014850333883345739
419.27,0.01636144019716699
419.48,0.008223951218546499
419.69,0.0033653125207063
419.9,0.03357519092676519
420.11,0.025638787520688662
420.31,0.03469775693828416
420.52,0.03102925556598232
420.73,0.032000146303103494
420.94,0.00913795078069963
421.15,0.03323205406805052
421.35,0.04493375871215091
421.56,0.058693780413478225
421.77,0.01717500443171978
421.98,0.02932015057961462
422.19,0.061407320742102665
422.39,0.031238564603903094
422.6,0.039504499601478955
422.81,0.06119998564376306
423.02,0.06730489760914578
423.22,0.003267121919510341
423.43,0.03322619679145131
423.64,0.03739677800839071
423.85,0.013869674718881947
424.06,0.045233468036318426
424.26,0.018942892051855766
424.47,0.017500451569587763
424.68,0.04287981521766767
424.89,0.05103722703909964
425.09,0.04274871967633162
425.3,0.011489224916407392
425.51,0.03363042028903789
425.72,0.05863839059325448
425.93,0.023109461407293693
426.13,0.004861273135792876
426.34,0.030198941792272407
426.55,0.013494645753783147
426.76,0.009221918450489641
426.96,0.020419637107713867
427.17,0.017610090139154093
427.38,0.04972895927455897
427.59,0.020818223825742655
427.79,0.04301019235190439
428.0,0.03134690596546557
428.21,0.03178202198442253
428.42,0.04957409886761843
428.62,0.02676688787823874
428.83,0.028883162288831653
429.04,0.03952399861176687
429.25,0.01629615524983739
429.45,0.028684269341865937
429.66,0.023521343029535683
429.87,0.021977418469043306
430.08,0.027610746956709675
430.28,0.039006142216685045
430.49,0.02115208287224536
430.7,0.015760159086475642
430.91,0.04027617951668588
431.11,0.031132837328698804
431.32,0.04196692270918207
431.53,0.05226243472749194
431.74,0.023521343029535683
431.94,0.021594117887787007
432.15,-0.014676593525887018
432.36,0.03530023455596485
432.56,0.0263648043755176
432.77,0.011301482424130085
432.98,0.02630444867160204
433.19,0.04523614701393866
433.39,0.01536226043472958
433.6,0.007702423445425541
433.81,0.028937236365407383
434.02,0.022169415053009296
434.22,0.009324479515460591
434.43,0.03482369812093818
434.64,0.03698862612521754
434.84,0.018667468094473602
435.05,0.031241392381072743
435.26,0.014407427024638778
435.47,0.04813184629390426
435.67,0.013657387090511137
435.88,0.02609801362687488
436.09,0.011837271766077545
436.29,0.007903169446034688
436.5,0.0315129611231496
436.71,0.0033108613833168037
436.92,0.029690372192088463
437.12,0.028076330886958545
437.33,0.016723693821844632
437.54,0.004388843214126296
437.74,0.01535474197790316
437.95,0.029423533073034514
438.16,0.014262127826321764
438.36,0.023442296919452755
438.57,0.031732424844580165
438.78,0.03501368755443207
438.99,0.013245942542727557
439.19,0.03478437123678032
439.4,0.013116605239372619
439.61,0.001001873920658471
439.81,0.034017634973309695
440.02,0.024183232618229033
440.23,0.028366746708541973
440.43,0.014121426763285736
440.64,0.019963081191715425
440.85,0.029049154004985374
441.05,0.01848083070571754
441.26,0.003533306231488497
441.47,0.03161647209331857
441.67,0.05430002236242031
441.88,0.023252720538488907
442.09,0.03527646306619972
442.29,0.016218840974733813
442.5,0.00509817108941807
442.71,0.015315930680449856
442.91,0.010115406415439602
443.12,0.018152212551744724
443.33,0.03286095560318362
443.53,0.02191159721907061
443.74,0.0015508425793198661
443.95,0.029403213163409877
444.15,0.019421031718724703
444.36,0.0201375519500655
444.57,0.015357179136991118
444.77,0.031121745496873993
444.98,0.01619821250060051
445.19,0.025639506397912584
445.39,0.03423961392118342
445.6,0.029347690280664713
445.81,0.02467832977646303
446.01,0.008359580257550991
446.22,0.002771182378579654
446.43,0.031205543278518107
446.63,0.03639619042670427
446.84,0.01590368319707473
447.05,0.011701970078506912
447.25,0.012343429742655456
447.46,0.01326636069654508
447.67,0.04179735871849109
447.87,0.009206478998054268
448.08,0.007848207905209598
448.28,-0.002833192686357219
448.49,0.03143336035341389
448.7,0.007542449392492382
448.9,0.014871863256682306
449.11,0.02274423738221167
449.32,0.04567173211257613
449.52,0.013664710398698082
449.73,0.017578153370477606
449.93,0.03376026931523038
450.14,0.02903924326276976
450.35,0.023281024495686666
450.55,0.029352758188584852
450.76,0.021583111723956817
450.97,0.03135086342716718
451.17,0.026846963837055045
451.38,0.019737641575303975
451.58,0.021472970826494436
451.79,0.04485425195279974
452.0,0.0156405749542515
452.2,0.013509032167104544
452.41,0.017164830637329456
452.62,0.017259541035979983
452.82,0.017618808926086717
453.03,0.0038394147186812623
453.23,0.022520701112849654
453.44,0.011060233627768912
453.65,0.02362831876116929
453.85,0.004731281303302275
454.06,0.018146785161955933
454.26,0.034755061567309814
454.47,0.007547035307668806
454.68,0.02656214088576524
454.88,0.02472427162020585
455.09,0.01926243678322582
455.29,0.015361027820636005
455.5,0.029188141524915272
455.71,0.019356870467334055
455.91,0.011351599094002063
456.12,0.007236868803008394
456.32,0.024321532907744234
456.53,0.005701817099183434
456.73,0.021808395687453033
456.94,0.025586738728011853
457.15,0.013980261595600198
457.35,0.015012736642647573
457.56,0.03043044429759123
457.76,0.01039955412208651
457.97,0.012999028882039477
458.18,-0.004870389539234286
458.38,0.004190622614414693
458.59,0.016673326440616636
458.79,0.025563426203003174
459.0,0.015017403911893518
459.2,0.02263056939906985
459.41,0.004554630483330556
459.62,0.014824446423915135
459.82,0.004178221089105242
460.03,0.016433493596420348
460.23,0.0020486973548235216
460.44,0.029108091775938184
460.64,0.003933752599533981
460.85,-0.00024272846610468544
461.06,0.010082889493625787
461.26,0.01492606414553369
461.47,0.015340806475086332
461.67,0.010502091093192221
461.88,0.021761104396247684
462.08,0.004594399822715164
462.29,0.027169595804885666
462.49,0.015227039254284995
462.7,0.03649356869301905
462.91,-0.0007257526054518349
463.11,0.023396148016639376
463.32,0.017278056568983912
463.52,0.015019813886669429
463.73,0.009858085855453683
463.93,0.019198554147334224
464.14,0.01305832389144528
464.34,0.007698038986407393
464.55,0.011286100107201864
464.75,0.02519227941228962
464.96,0.016831652063077945
465.16,0.00994010109957369
465.37,0.009489183784766422
465.58,0.012550980738139417
465.78,0.017266648909650954
465.99,0.013650804637480548
466.19,0.018689709217251414
466.4,0.015482121416064568
466.6,0.0314735440727529
466.81,0.012027459694308589
467.01,0.012900980640903541
467.22,0.015485620298811512
467.42,0.015541191774451206
467.63,0.016044172254800322
467.83,0.015639765460445182
468.04,0.00978794774972968
468.24,0.013495508374296389
468.45,0.00795777318943892
468.65,0.009487651890014312
468.86,0.008035563833659855
469.06,0.0222201835089864
469.27,0.010842033454027924
469.47,0.0012359831189041517
469.68,0.014502865074344546
469.88,0.016257369550308008
470.09,0.01548281478267853
470.29,0.014890892863380316
470.5,0.019429068659734927
470.7,0.009962893484895721
470.91,0.007676678310118992
471.11,0.018346866541744757
471.32,0.00611827151200315
471.52,0.012441790719850524
471.73,0.01848383991628442
471.93,0.011100467050378189
472.14,0.012786061651241853
472.34,0.003228400161919086
472.55,0.00448376515903826
472.75,0.00949223229659077
472.96,0.013410954480435111
473.16,0.004125353464030124
473.37,0.00702341776350185
473.57,0.010776047606344265
473.78,0.005070778970622484
473.98,0.009945747716290523
474.19,0.0183446256173529
474.39,0.01943031883871811
474.6,0.014251484720104752
474.8,0.01892881687073568
475.01,0.0032391123064937763
475.21,0.008663860245368771
475.42,0.01122217452627707
475.62,0.002835062841782857
475.83,0.009400157288911143
476.03,0.007683859767917996
476.24,0.0012181604894594435
476.44,0.010944862255288667
476.64,0.007228372854180342
476.85,0.007060490068481857
477.05,0.002876095220487115
477.26,0.013416537224685715
477.46,0.013443522284232155
477.67,0.01690808409601651
477.87,0.009959766121215081
478.08,0.010676156583629902
478.28,0.0025455928712906015
478.49,0.00011570935576388129
478.69,0.004962153876470193
478.9,0.009232017001786172
479.1,0.013320345875902478
479.3,0.006940167841432464
479.51,0.008167624229624203
479.71,0.004176674553681461
479.92,0.014051731703953234
480.12,0.0058413922988654705
480.33,0.0032640841213625997
480.53,0.0032176354898076306
480.74,0.005824028951534975
480.94,0.011913014557679756
481.14,0.006970360332186672
481.35,0.010538689375784102
481.55,0.00821292260047763
481.76,0.009439158718090784
481.96,0.004434387659452126
482.17,0.007363331179323977
482.37,0.00607344622298066
482.57,0.0017798664231033546
482.78,0.008785398970197929
482.98,0.004803307325540573
483.19,0.011135959006610397
483.39,0.006584490013851726
483.6,0.006727246831759554
483.8,0.014901131249329727
484.0,0.002867024373626804
484.21,0.007263055268419292
484.41,0.012563415698084498
484.62,0.009901232452543854
484.82,0.006105616203854592
485.02,0.00782930642177223
485.23,0.00830004045282439
485.43,0.009469863345830984
485.64,0.012167463464855036
485.84,0.01031969892720951
486.05,0.004929146563624006
486.25,0.004481403719874157
486.45,-0.0006780279546571322
486.66,0.003806141591677458
486.86,0.010263950113248895
487.07,0.003404538013805127
487.27,8.871798448993655e-05
487.47,0.0091690273150744
487.68,0.004307854820341004
487.88,0.0076087408454552545
488.09,0.003114552831427131
488.29,0.006584020879779031
488.49,0.01148057583347712
488.7,0.00932877054379907
488.9,0.001488145076135531
489.1,0.0071726060128509
489.31,0.008745951507759312
489.51,0.008120831230156018
489.72,0.012988879484184099
489.92,0.0009529304962192974
490.12,0.010853983467190033
490.33,0.004746671208023789
490.53,0.005333224205068805
490.74,0.006151287615894171
490.94,0.010471258726304257
491.14,0.00749313774910731
491.35,0.008302040237940485
491.55,0.009393191656804056
491.75,0.006641106104576396
491.96,0.003975160879786877
492.16,0.011242544870706786
492.36,0.010224282229356974
492.57,0.007011822605571149
492.77,0.006918245409589058
492.98,0.013010295518291652
493.18,0.008300544673329116
493.38,0.006633026944203226
493.59,0.004010708586029204
493.79,0.00801741410558876
493.99,0.004382310923143717
494.2,0.008969436677964017
494.4,0.006750454509524945
494.6,0.00740396256374724
494.81,0.009554421715635034
495.01,0.009627114538381233
495.22,0.006884094517387491
495.42,0.001677147639116551
495.62,0.010228268046125467
495.83,0.004691023957831749
496.03,0.002929396133653491
496.23,0.002426679139530389
496.44,0.005497389557426588
496.64,0.006005056712552905
496.84,0.010841823294513138
497.05,0.003545771212333637
497.25,0.003982074198959752
497.45,0.006891054671932182
497.66,0.010689490380581803
497.86,0.006730884371928013
498.06,0.006191106765418954
498.27,0.007650086118673119
498.47,0.011649542063780707
498.67,0.008855960298275069
498.88,0.008005409015648064
499.08,0.008445073615785026
499.28,0.010085492882533248
499.49,0.006072055650641824
499.69,0.013440426858557751
499.89,0.014325401044840492
500.1,0.011077041159397347
500.3,0.014680570145949697
500.5,0.026452398317883208
500.7,0.041157038689512
500.91,0.06455737929431025
501.11,0.1062151478130011
501.31,0.14255538048061556
501.52,0.206251709526803
501.72,0.2700720391276064
501.92,0.3533040806000277
502.13,0.4328964800807175
502.33,0.5269095721736609
502.53,0.5939113892519022
502.74,0.6784939751712677
502.94,0.7531639737624936
503.14,0.7783566893926556
503.34,0.8106240939546974
503.55,0.8452952195355793
503.75,0.8863119471398352
503.95,0.9058211599766783
504.16,0.9366354249738775
504.36,0.9284934284222109
504.56,0.9289271151660711
504.76,0.9493798757693166
504.97,0.9666641230527727
505.17,0.9732367782763611
505.37,0.9563797905575211
505.58,0.9458262799977231
505.78,0.9399102593648456
505.98,0.9577290317491537
506.18,0.9641196436954844
506.39,0.9531570658506293
506.59,0.950158639705789
506.79,0.9589087465840948
507.0,0.9393087467221409
507.2,0.9336392802274627
507.4,0.965436171731379
507.6,0.9618409444882227
507.81,0.9445249226803483
508.01,0.9650992307542853
508.21,0.9441323064111163
508.41,0.9266089517774387
508.62,0.9258759958360877
508.82,0.9514140254411202
509.02,0.9540514397258698
509.23,0.9210753248788339
509.43,0.9443958464367218
509.63,0.9451379626388721
509.83,0.9335267293251536
510.04,0.9512094051574311
510.24,0.9404397003092442
510.44,0.9596177028144868
510.64,0.9549236822794962
510.85,0.9436430355840834
511.05,0.9591368807154914
511.25,0.9430231159200788
511.45,0.9540946948285575
511.66,0.9558254889617787
511.86,0.946874594505326
512.06,0.9459812637844508
512.26,0.9411420097335081
512.46,0.9580611662548086
512.67,0.9569862647950522
512.87,0.9568193539092661
513.07,0.9542347526715481
513.27,0.9722817622946024
513.48,0.9421060539563466
513.68,0.9318050183184295
513.88,0.9732752676865872
514.08,0.9442515476733292
514.29,0.9384807096956459
514.49,0.9540721315165882
514.69,0.9474303718641578
514.89,0.9526218684418439
515.09,0.9528153774345484
515.3,0.955886801247626
515.5,0.9812645687513006
515.7,0.9788788842339695
515.9,0.9588011186226568
516.11,0.9480310221131328
516.31,0.9457825691314352
516.51,0.9514103912536415
516.71,0.9528029151813302
516.91,0.945919716197873
517.12,0.9492687006990743
517.32,0.9683053109937714
517.52,0.9677712462820127
517.72,0.9269663759930024
517.92,0.9610613885418341
518.13,0.9509281341842251
518.33,0.9642705530002376
518.53,0.9491736010701921
518.73,0.9506722156903419
518.93,0.9552755502813483
519.14,0.9689458472804201
519.34,0.9325593924895309
519.54,0.9423381098596818
519.74,0.9552960272605475
519.94,0.9564632328151025
520.15,0.9703867440533708
520.35,0.960745698825818
520.55,0.9601281087271869
520.75,0.9645161978806809
520.95,0.9619242966106205
521.16,0.9521419157918404
521.36,0.9646996578603929
521.56,0.9522221296772189
521.76,0.950413062690479
521.96,0.9484400650150464
522.16,0.9357040772621248
522.37,0.9393937461564613
522.57,0.964747639742793
522.77,0.9649653575665432
522.97,0.9695610298365612
523.17,0.9466650316358681
523.37,0.9435566217240566
523.58,0.9518646673126085
523.78,0.9585519543797166
523.98,0.9516491666511495
524.18,0.9691898971209028
524.38,0.9487318315886536
524.58,0.9577363742476503
524.79,0.961721842442587
524.99,0.9563317388048632
525.19,0.9624895991844261
525.39,0.9579943767790497
525.59,0.9444773420883892
525.79,0.9581401641031674
526.0,0.9507243264769096
526.2,0.9466506940527213
526.4,0.9562569348927177
526.6,0.9669189676201971
526.8,0.9823280271614092
527.0,0.9582998773525805
527.2,0.9559033637995475
527.41,0.9612504787839975
527.61,0.950282331910222
527.81,0.9441291695951571
528.01,0.9756407350953838
528.21,0.9673894300305812
528.41,0.938348437835316
528.61,0.9760690359327321
528.82,0.9680741068078801
529.02,0.9451807153384345
529.22,0.9663764562858542
529.42,0.94489533437266
529.62,0.9387487074005191
529.82,0.9795885025507645
530.02,0.9608421418708282
530.22,0.9427965481213323
530.43,0.9596022790066077
530.63,0.9519870491685622
530.83,0.9641754390472842
531.03,0.9596649822842468
531.23,0.9519472733057933
531.43,0.9453876008325084
531.63,0.9577607655279846
531.83,0.950657918696008
532.03,0.9686940474580815
532.24,0.9583534338390963
532.44,0.9568305559345878
532.64,0.9646707107374485
532.84,0.953320842203216
533.04,0.9451835256902403
533.24,0.9430618463629241
533.44,0.9589222531775478
533.64,0.9708856475436882
533.84,0.9698842843087604
534.04,0.9571069943769787
534.25,0.9447834470835214
534.45,0.9548498022800501
534.65,0.9394713913178045
534.85,0.9376560674429489
535.05,0.9323950676084231
535.25,0.9164653472870197
535.45,0.9077638050806803
535.65,0.8647705498428597
535.85,0.8140151665419414
536.05,0.7693332648643098
536.25,0.6896670094322118
536.46,0.6191077195937019
536.66,0.5434826077536898
536.86,0.45249843851223226
537.06,0.3709701247569413
537.26,0.30219946899186306
537.46,0.24286172900753433
537.66,0.1904009177099586
537.86,0.14802457119990078
538.06,0.11681796748995374
538.26,0.09302418594552592
538.46,0.06964372824910953
538.66,0.05152901899424374
538.86,0.042911189351337684
539.07,0.02598281529571504
539.27,0.020728212752885014
539.47,0.01704516581124345
539.67,0.012186096072442325
539.87,0.013350173665929907
540.07,0.010071053018075595
540.27,0.010887092844906387
540.47,0.00602393688967781
540.67,0.0058612354538364365
540.87,0.007810685756266445
541.07,0.005705582255314543
541.27,0.008174831179488288
541.47,0.004776987001324949
541.67,0.00809649262609841
541.87,0.005934991046134062
542.07,0.006368411017316397
542.27,0.006730440242120392
542.47,0.007399631033775931
542.67,0.0029217024301356606
542.87,0.007634600234112081
543.08,0.006096144094424801
543.28,0.009126206358040272
543.48,0.007016564621007171
543.68,0.005971408026337549
543.88,0.007713132642090635
544.08,0.0062492815536817365
544.28,0.005064422975449238
544.48,0.002382831407907404
544.68,0.004294725591426585
544.88,0.002296517365464831
545.08,0.002628637270081182
545.28,0.009834059669527027
545.48,0.0006860580720128391
545.68,0.0017270010715025252
545.88,0.00621342137241119
546.08,0.00580254487363956
546.28,0.0040596570301530644
546.48,0.001523371425823403
546.68,0.0020544745073227465
546.88,0.0038682011281458506
547.08,0.00688981258771797
547.28,0.001735736653231359
547.48,0.0026827426639433895
547.68,0.005194938375886854
547.88,0.004985395750277175
548.08,0.006355042394041363
548.28,0.007344091586484259
548.48,0.003237668404812897
548.68,0.004988846259839622
548.88,0.005595289492712577
549.08,0.0035685618331477826
549.28,0.006290274899432841
549.48,0.006747048001803935
549.68,0.007887490202196592
549.88,0.009327233925586879
550.08,0.003581622535181793
550.28,0.0027653489266094696
550.48,0.002034935630546219
550.68,0.005490156682756111
550.88,0.0044275580331847525
551.08,0.003391083557696321
551.28,0.0012959173184566401
551.48,0.004036654864310653
551.68,0.006171473109316789
551.88,0.004180707952040213
552.08,0.00443912733381283
552.28,0.0034636852792445075
552.48,0.0016646895675697135
552.68,0.0062050589076424025
552.88,0.004622717028354692
553.08,0.001096179488753338
553.28,0.0015757262683937048
553.48,0.0040045998338016295
553.68,0.004497579271462873
553.88,0.004440055490352182
554.08,0.0022994412067078793
554.28,0.005684465077308804
554.47,0.0016086581038629903
554.67,0.005152462770805887
554.87,0.0031643713674260675
555.07,0.0034977087282586712
555.27,0.005261038934776578
555.47,0.0017639733235806992
555.67,0.006843904243857657
555.87,0.00127303217022427
556.07,0.003308167512673617
556.27,0.004401047802626211
556.47,0.001887424241143353
556.67,0.004949340424633211
556.87,0.0007667140525728889
557.07,0.002483008926495567
557.27,0.0024857833871621366
557.47,0.00863319244302472
557.67,0.0015702885774923397
557.87,0.0009717591941595578
558.07,0.0038117423032408082
558.26,0.004400156854577824
558.46,0.0032854067451471413
558.66,0.0023628420010103224
558.86,0.0037913018792730437
559.06,0.004982261583767243
559.26,0.0013580585818242122
559.46,0.0001470418522815434
559.66,0.006292762942159269
559.86,0.0023774415231366092
560.06,0.0046919438680953305
560.26,0.006534375012532456
560.46,0.0010572218128357882
560.66,0.004080419190605378
560.86,0.002935243014691266
561.05,0.006384255754931211
561.25,0.005115167226895867
561.45,0.0033472992996392294
561.65,0.006155120956437824
561.85,0.0014185427479249928
562.05,0.004627063324185797
562.25,0.0033980305393695367
562.45,0.003420282923747646
562.65,0.003792333989205592
562.85,0.002213592742165526
563.05,0.004210294342615336
563.24,0.003947331027935654
563.44,0.005727154888270276
563.64,0.0029169403634693577
563.84,0.0034013834824729227
564.04,0.0037253397848193426
564.24,0.0039816943596289595
564.44,0.006640560416991937
564.64,0.0025779127629276637
564.84,0.0016270331251721144
565.03,0.0035980196874382344
565.23,0.005127913079641025
565.43,0.0023064206154767403
565.63,0.00024164963335736143
565.83,0.004152982329292155
566.03,0.004512438983924069
566.23,0.0041469845588310225
566.43,0.005023802409978653
566.63,0.003289402749806369
566.82,0.0018136653948051151
567.02,0.004095399534719328
567.22,0.0019201497241447603
567.42,0.0011814937256787662
567.62,0.0023387289456811935
567.82,0.003044677660543327
568.02,0.0012050106476784554
568.22,0.003700411629706957
568.41,0.0030666320360522963
568.61,0.0013110078096857786
568.81,0.0025636818359013737
569.01,0.003552805538998694
569.21,0.0011280058490764292
569.41,0.000629100386447384
569.61,0.003247277852867083
569.8,0.0018940010238032545
570.0,0.006182231474087785
570.2,0.003707901279338621
570.4,0.0001428029246318324
570.6,0.0024831873731622927
570.8,-0.0019949307017632745
571.0,0.0016017182004368997
571.19,0.000638787957550964
571.39,0.005348427990072417
571.59,0.003026815111726465
571.79,0.004080055759955744
571.99,0.005584897112681254
572.19,0.002159143421110392
572.38,0.003712552941629785
572.58,0.005100526522566359
572.78,0.0031178945456014997
572.98,0.004793039863468244
573.18,0.004593928022543216
573.38,0.003988587429774191
573.57,0.006054409047472816
573.77,0.0018637259300295418
573.97,0.005144693420918296
574.17,-0.00033750530254890096
574.37,0.004667214609784495
574.57,0.00511565369381858
574.76,0.006657353417419903
574.96,0.0033732414144147355
575.16,0.002611712523532604
575.36,0.0011971449456968598
575.56,0.005333529782650278
575.75,0.004302942687227028
575.95,0.003473624742321731
576.15,0.0010829600364314722
576.35,0.005726386578372321
576.55,0.001948254017268292
576.74,0.0041136826497222235
576.94,0.005166836301400949
577.14,0.0008082093478419818
577.34,0.0024030654440818145
577.54,0.006248761903323235
577.74,0.0031757971831139777
577.93,0.004931388256961553
578.13,4.424849006250214e-05
578.33,0.0047313202882291626
578.53,0.0022046011800444607
578.72,0.002918468679583899
578.92,0.0019909388766088235
579.12,0.004159340067437413
579.32,0.00440132117993156
579.52,0.004327513447950879
579.71,0.0015668269308088032
579.91,0.0010934897754076964
580.11,0.00023514246998168864
580.31,0.0031646871925228395
580.51,0.0031536546637994036
580.7,0.0034855758900869628
580.9,0.0009861328247403858
581.1,0.003313682879103505
581.3,0.002519516063926347
581.49,0.004830950494320792
581.69,0.004431261191195359
