Wavelength [nm],#25-F495-Di03.csv
400.08,0.05195505486978451
400.29,0.1210282797057743
400.5,0.10307846271042141
400.71,0.10624403476164168
400.92,0.031628618152913054
401.13,0.09359388220331225
401.34,0.04777906854997537
401.54,0.0435632260751956
401.75,0.07688488215122509
401.96,0.06149153828566986
402.17,0.05065787039239635
402.38,0.03106028589185835
402.59,0.04953423458979839
402.8,0.020807795552935025
403.01,0.08155572481310253
403.22,0.05942984720849382
403.43,0.05716453210763538
403.63,0.035652860610347566
403.84,0.029241463243382455
404.05,0.0313170436710775
404.26,0.09218296372627909
404.47,0.06599472042236626
404.68,0.062135004238316985
404.89,0.05894633127984514
405.1,0.08169662260629464
405.31,0.03916907304188217
405.52,0.05266459147611585
405.72,0.0641408957043665
405.93,0.08422422826960405
406.14,0.05492457812379282
406.35,0.08345904999472682
406.56,0.07015385943333122
406.77,0.023191325044372935
406.98,0.08412494937136991
407.19,0.019376055862146687
407.39,0.09373628913934721
407.6,0.05739831234053071
407.81,0.01218208821256893
408.02,0.0692400420849964
408.23,0.0588620727312439
408.44,0.04400762117198759
408.65,0.041608232203721035
408.86,0.017446323175465045
409.06,0.05941487086761553
409.27,0.015618875999549546
409.48,0.05470605920737831
409.69,0.02712372185919289
409.9,0.042254245349719166
410.11,0.06509867016093254
410.32,0.06799901243551598
410.52,0.0643912664047201
410.73,0.03013328419630248
410.94,0.08822232916654875
411.15,0.04622793069302867
411.36,0.06464685833369793
411.57,0.02684804786316695
411.78,0.053250426705510695
411.98,0.07760029456421463
412.19,0.039017935302620106
412.4,0.06354123996293398
412.61,0.049307842920227364
412.82,0.05331022698353071
413.03,0.07483851032824058
413.23,0.04947308876830576
413.44,0.030799429128667913
413.65,0.044840137581489616
413.86,0.036802948982134494
414.07,0.07255698275959234
414.28,0.05818201420651281
414.48,0.05924978177426495
414.69,0.05063752556433391
414.9,0.06562464622963751
415.11,0.03325364051293201
415.32,0.04516625742337437
415.53,0.07697512985347103
415.73,0.06792207342281831
415.94,0.06555476308041187
416.15,0.05749116352881776
416.36,0.04764022416268758
416.57,0.0411096049078679
416.78,0.06856441062212217
416.98,0.09180503794335694
417.19,0.03261894695762468
417.4,0.10203507063205516
417.61,0.037008125199377045
417.82,0.053982985305491143
418.02,0.03765855107991164
418.23,0.05933326276367808
418.44,0.05798072541954953
418.65,0.09605896015069224
418.86,0.029267070469251522
419.07,0.04461006338061967
419.27,0.08532920128679092
419.48,0.04344796183009646
419.69,0.03923640535799605
419.9,0.09794040837728427
420.11,0.05830415383943952
420.31,0.054829190578778754
420.52,0.018606553714264146
420.73,0.07979005504654271
420.94,0.07088592658404454
421.15,0.03869916780564873
421.35,0.07143708354471759
421.56,0.07662342269131674
421.77,0.07017502784457878
421.98,0.038349730574222855
422.19,0.05417943432317496
422.39,0.06203733856158247
422.6,0.05707453924291531
422.81,0.04396597571838287
423.02,0.05433694431387187
423.22,0.06444524946930433
423.43,0.062142661493601314
423.64,0.051608439750392816
423.85,0.047935995046775114
424.06,0.06333782343283534
424.26,0.06658415448818651
424.47,0.05918799267946061
424.68,0.03278361073684138
424.89,0.0682089343593445
425.09,0.041848201068313114
425.3,0.06307972203167411
425.51,0.07973583916837769
425.72,0.07228131246871455
425.93,0.041442527815199706
426.13,0.045733042274858526
426.34,0.04859625183957347
426.55,0.04925655514732417
426.76,0.029477825895501852
426.96,0.05949380742716498
427.17,0.026212453623049418
427.38,0.030902834882828533
427.59,0.050593516758930326
427.79,0.04045367461108134
428.0,0.022751936186987003
428.21,0.03839101842138893
428.42,0.05296544909467421
428.62,0.03876236584194163
428.83,0.06156095061560954
429.04,0.0421316257648571
429.25,0.0462925056727123
429.45,0.043627588275068
429.66,0.060573497602328004
429.87,0.04173545041916364
430.08,0.0436303392638479
430.28,0.038108855701481203
430.49,0.038731392404335645
430.7,0.029520091072931163
430.91,0.06021849266958591
431.11,0.06357068066042519
431.32,0.050935743007223776
431.53,0.07943475414885837
431.74,0.04822277941139723
431.94,0.05193228477498741
432.15,0.04789909022785621
432.36,0.07265392917753523
432.56,0.06078238788148909
432.77,0.03394939475406707
432.98,0.0629324944895982
433.19,0.03815216129516327
433.39,0.021674040816558236
433.6,0.06434209238145389
433.81,0.034954666349200365
434.02,0.022896967571571045
434.22,0.06390509309687295
434.43,0.04231730294919177
434.64,0.03474558721091292
434.84,0.04798285366297327
435.05,0.04458904542295789
435.26,0.035865523583411656
435.47,0.04813184629390426
435.67,0.031402681475689344
435.88,0.0232357006617812
436.09,0.04202115146485918
436.29,0.023749160489604966
436.5,0.04021194650228299
436.71,0.04625883318106393
436.92,0.04716713061802347
437.12,0.030157537887200603
437.33,0.0074609460100214285
437.54,0.016596609441746
437.74,0.025604345635315686
437.95,0.03960186306327985
438.16,0.03883915024574636
438.36,0.04316386613208219
438.57,0.05768035704197506
438.78,0.04125730855515825
438.99,0.03071634224852845
439.19,0.031469757127016516
439.4,0.022547572834354723
439.61,0.03232696853527995
439.81,0.024941290603931396
440.02,0.048062346634846445
440.23,0.03684977712680185
440.43,0.012148354235126868
440.64,0.02757501842517783
440.85,0.04308216692026088
441.05,0.04740840046559015
441.26,0.030011034322550697
441.47,0.012302082609622723
441.67,0.019134551746414697
441.88,0.04748013347552378
442.09,0.039092113179319564
442.29,0.0429624064627993
442.5,0.05559387434002374
442.71,0.03358707311977882
442.91,0.03496059436538233
443.12,0.02452784753517495
443.33,0.03418944330153089
443.53,0.037532173676259904
443.74,0.019750104405341064
443.95,0.04362914874662439
444.15,0.02867759844258822
444.36,0.03502153850272273
444.57,0.02916351569466237
444.77,0.040110675624802264
444.98,0.04990312183315912
445.19,0.05984982281827196
445.39,0.012053226673426827
445.6,0.017348735248350226
445.81,0.01456211965211884
446.01,0.025114455935302007
446.22,0.03376026931523038
446.43,0.056778386519171095
446.63,0.0406093238851759
446.84,0.040536130687257844
447.05,0.03450884769207983
447.25,0.035859062367830326
447.46,0.04107037683220912
447.67,0.0664331505782322
447.87,0.044910750025151415
448.08,0.02882146951144122
448.28,0.03657946554149088
448.49,0.01738731198527298
448.7,0.04564411038473673
448.9,0.05376649666295765
449.11,0.04520988709756312
449.32,0.04567173211257613
449.52,0.038596736831283396
449.73,0.04699888982268292
449.93,0.019505289324371046
450.14,0.04088710839436873
450.35,0.046882040632407994
450.55,0.029352758188584852
450.76,0.03131860314958909
450.97,0.03135086342716718
451.17,0.043750366450307186
451.38,0.04321355086000756
451.58,0.02088420606766561
451.79,0.04199624552536946
452.0,0.009141203000167927
452.2,0.017373294492135472
452.41,0.03516347691311643
452.62,0.027455119284598057
452.82,0.03438693990969088
453.03,0.03172479143590698
453.23,0.03718289059615691
453.44,0.02185279856807471
453.65,0.01917762163871308
453.85,0.02036962256228518
454.06,0.03224296604864237
454.26,0.04198744439130115
454.47,0.04092432891792062
454.68,0.022266772505779648
454.88,0.022683945828616322
455.09,0.030123317881971933
455.29,0.028849232918983458
455.5,0.030240512103208047
455.71,0.019860022406550406
455.91,0.020339311829511136
456.12,0.02979966723930366
456.32,0.049479161543531096
456.53,0.032927944779928685
456.73,0.022835368500379594
456.94,0.018345875852317672
457.15,0.04144305023889361
457.35,0.029776999690830586
457.56,0.04344130790068314
457.76,0.025639807395360332
457.97,0.03953680059772404
458.18,0.028352690481137144
458.38,0.031398529100359646
458.59,0.006710543527147707
458.79,0.03499986601041548
459.0,0.02367995131670356
459.2,0.001203436889632419
459.41,0.02379028979766233
459.62,0.014824446423915135
459.82,0.01897497857663711
460.03,0.012263875811383974
460.23,0.021292937350736015
460.44,0.026219965127775382
460.64,0.01972221526229195
460.85,0.04612005977394881
461.06,0.019474892439606567
461.26,0.024119474652808223
461.47,0.026552272539973963
461.67,0.02859968013399889
461.88,0.020385885705145875
462.08,0.03515509807377216
462.29,0.030056332909322206
462.49,0.02460582935662514
462.7,0.054627914601719035
462.91,0.014465530166547435
463.11,0.027771613303303178
463.32,0.026908293876548438
463.52,0.03252060079255548
463.73,0.0256512222795581
463.93,0.02173183381806862
464.14,0.03362853685419414
464.34,0.0318700313168519
464.55,0.01853411058507059
464.75,0.02003246655901591
464.96,0.02930840774755665
465.16,0.023208542787636163
465.37,0.011106344301036191
465.58,0.02012833589402607
465.78,0.022203099282206804
465.99,0.015190171309915224
466.19,0.021774378107727636
466.4,0.0292104583684302
466.6,0.02334832212705452
466.81,0.02189534363663471
467.01,0.03217273033553643
467.22,0.018929316146969577
467.42,0.014416952556835429
467.63,0.019734929298105646
467.83,0.01810154525386315
468.04,0.022359721378000474
468.24,0.03199709298843186
468.45,0.015077693477552995
468.65,0.016740357367807095
468.86,0.017332995463192963
469.06,0.02153087803384293
469.27,0.011197845672209928
469.47,0.03043336257852977
469.68,0.020307941752700797
469.88,0.025003303320308826
470.09,0.025144743165521958
470.29,0.018909012946874346
470.5,0.020425921521144887
470.7,0.015194265249836827
470.91,0.018469911538782826
471.11,0.01636239255227389
471.32,0.017116014318541213
471.52,0.014648272515241858
471.73,0.014754202829202534
471.93,0.017359324853856807
472.14,0.011244503346512376
472.34,0.01093619168556648
472.55,0.008201846334914867
472.75,0.01039708104906039
472.96,0.02575103009668983
473.16,0.010556278303284542
473.37,0.01702507046465638
473.57,0.01904912725599252
473.78,0.015519277207803812
473.98,0.02228287235533986
474.19,0.015032884123793226
474.39,0.009351041646164552
474.6,0.010863062438993681
474.8,0.018648270349966658
475.01,0.017922275524641745
475.21,0.007562681528618279
475.42,0.01609300125274861
475.62,0.012311243346951904
475.83,0.010725197206930255
476.03,0.016548481094216153
476.24,0.018109724605567878
476.44,0.00991405961042706
476.64,0.017490258212963
476.85,0.013012175442696752
477.05,0.010899219422887017
477.26,0.010907423636752567
477.46,0.016963346618590145
477.67,0.014402114389404265
477.87,0.0193113765829088
478.08,0.009715881074368684
478.28,0.018347332199432475
478.49,0.020496454965653763
478.69,0.009810084917266928
478.9,0.010401478738091902
479.1,0.01308446740252832
479.3,0.020363077595532145
479.51,0.014801954502335747
479.71,0.017969867753550996
479.92,0.008474838364545946
480.12,0.013868047724364826
480.33,0.008451892690090515
480.53,0.018337243071046328
480.74,0.011768963461024417
480.94,0.021270320845972305
481.14,0.00997563810031235
481.35,0.015422725461432016
481.55,0.01040471724666442
481.76,0.018773588902932646
481.96,0.013965477072634047
482.17,0.011849100502593655
482.37,0.008340332412395382
482.57,0.006612336023665052
482.78,0.00857355571287162
482.98,0.010533413719718008
483.19,0.012158146355166724
483.39,0.004962256072253608
483.6,0.00692823281985511
483.8,0.013667444500737778
484.0,0.011584260798733186
484.21,0.00686476562158616
484.41,0.016183346149700482
484.62,0.011902644960220135
484.82,0.01755198915797768
485.02,0.011201337967319985
485.23,0.007345381269586833
485.43,0.018066180113638367
485.64,0.009675357317958686
485.84,0.01109168044130685
486.05,0.006283774329873448
486.25,0.005054199229816692
486.45,0.005278388878406303
486.66,0.007152817487786045
486.86,0.007858534400306708
487.07,0.01040853793159233
487.27,0.008372675131671718
487.47,0.013061180406429326
487.68,0.01385181639625663
487.88,0.01678225960266125
488.09,0.015216348851682947
488.29,0.011038801055206032
488.49,0.007437551603757191
488.7,0.016397226077789526
488.9,0.00886631149182911
489.1,0.0064636967704466515
489.31,0.013519245481237197
489.51,0.01161582477761847
489.72,0.007154853516600017
489.92,0.014538298596166106
490.12,0.007852290807236843
490.33,0.010275856367979213
490.53,0.01250924704645402
490.74,0.014128436589837439
490.94,0.008597473883128039
491.14,0.008182618028545235
491.35,0.012926538495898275
491.55,0.007022508696666493
491.75,0.009333135627328222
491.96,0.013459498745920517
492.16,0.011242544870706786
492.36,0.015465663720797003
492.57,0.009886128584747939
492.77,0.003581837700567016
492.98,0.00886536983173988
493.18,0.007313779046138399
493.38,0.009091450404991373
493.59,0.009583135097149002
493.79,0.008827724990978739
493.99,0.012825360830513133
494.2,0.00622061638485346
494.4,0.005936582381132226
494.6,0.004310241318457082
494.81,0.012928202274267908
495.01,0.007198936492953923
495.22,0.01531269368257369
495.42,0.011927855572871812
495.62,0.01006711992955857
495.83,0.004372677891610041
496.03,0.011493387323216512
496.23,0.012622003959645252
496.44,0.013790227232701414
496.64,0.012248743542247925
496.84,0.010683481982410451
497.05,0.007490562300170795
497.25,0.01039185837065064
497.45,0.0027072597704096623
497.66,0.011470073077141232
497.86,0.009208250833354225
498.06,0.009171278635914068
498.27,0.005982780627196932
498.47,0.006864462539179302
498.67,0.00673554212042908
498.88,0.0072425709727502235
499.08,0.007227134200604047
499.28,0.017281458010125452
499.49,0.007610405665112275
499.69,0.012073159202525571
499.89,0.009673869218442266
500.1,0.014439684914342209
500.3,0.01076459564637689
500.5,0.010171329723632879
500.7,0.006769098297845686
500.91,0.008776134519621698
501.11,0.009112962013949146
501.31,0.00856568589554228
501.52,0.012669026546785188
501.72,0.005726187066152324
501.92,0.01055674133963006
502.13,0.007350387321564128
502.33,0.011899739350051152
502.53,0.013742794750818306
502.74,0.007416271609649669
502.94,0.014284687064738896
503.14,0.012969717511178324
503.34,0.004889901941724294
503.55,0.010063230623734806
503.75,0.014025096550335611
503.95,0.01140931036495024
504.16,0.007971237639528249
504.36,0.01225202343865354
504.56,0.010180067312843643
504.76,0.010926790031778107
504.97,0.01594222985652461
505.17,0.012364785366038971
505.37,0.013400711347520324
505.58,0.009903985747860415
505.78,0.013704328061756607
505.98,0.0072814589280775005
506.18,0.007786640997438739
506.39,0.007613218780809471
506.59,0.01475067384418011
506.79,0.01268797253251448
507.0,0.015343985503556304
507.2,0.01075910504368498
507.4,0.016282155120234586
507.6,0.020398553029775512
507.81,0.021923200374219656
508.01,0.021393509959442857
508.21,0.02224604743822136
508.41,0.024346730468279183
508.62,0.02780939927512439
508.82,0.03296017776008627
509.02,0.045736978644194876
509.23,0.046584546364244445
509.43,0.05794505131708634
509.63,0.06925598307738151
509.83,0.08626274476832091
510.04,0.10455705520874214
510.24,0.12608796635563713
510.44,0.1575277127438407
510.64,0.17847395722000647
510.85,0.20156536498487945
511.05,0.23610162205966329
511.25,0.2652493695679775
511.45,0.296917007171298
511.66,0.3295407052482971
511.86,0.3513453576020667
512.06,0.3758273034363912
512.26,0.3892998416525094
512.46,0.4303967831903097
512.67,0.4515748761369152
512.87,0.46265534366243843
513.07,0.48955167617425244
513.27,0.5026333121594845
513.48,0.5142494790284697
513.68,0.5305912094251897
513.88,0.568696066539993
514.08,0.5859226945962438
514.29,0.5979815229906037
514.49,0.6358576141672352
514.69,0.6779954929078791
514.89,0.7153561858630044
515.09,0.7283159100705044
515.3,0.7732932484572597
515.5,0.8030247903852958
515.7,0.8291564186262509
515.9,0.8558039151792988
516.11,0.8512188363569833
516.31,0.892674131167
516.51,0.9120001796256126
516.71,0.9158766985615419
516.91,0.9258052231133402
517.12,0.9354220401839981
517.32,0.9462150732015514
517.52,0.9575553394431036
517.72,0.931471696954473
517.92,0.9601028996444023
518.13,0.9597634579564084
518.33,0.9707668160911035
518.53,0.9562129380111749
518.73,0.9655879980887385
518.93,0.9520977604329177
519.14,0.9812480693193306
519.34,0.9471099345208993
519.54,0.9554270051676068
519.74,0.9646336716969868
519.94,0.9679018472497404
520.15,0.983964363380679
520.35,0.9792183111430801
520.55,0.9900903194204996
520.75,0.9817345674336619
520.95,0.9809621483053103
521.16,0.9749754113899503
521.36,0.9937705278577164
521.56,0.9636300845297032
521.76,0.9818968324108098
521.96,0.9722456367477055
522.16,0.974124811581099
522.37,0.9573429474775824
522.57,0.9932206999505371
522.77,0.9758575380666884
522.97,0.9765343211830945
523.17,0.9789959196751563
523.37,0.9649699656225176
523.58,0.9941081463454232
523.78,0.9683889572069305
523.98,0.9812764426667322
524.18,0.9918281447560817
524.38,0.9719558736895199
524.58,0.9833341888141508
524.79,0.9813544791267615
524.99,0.9852965095216375
525.19,0.9948450618762223
525.39,0.9707037704715423
525.59,0.9698034667498256
525.79,0.9899710809830505
526.0,0.991425598660079
526.2,0.9751036572246032
526.4,0.9668156057806824
526.6,0.9642338188880702
526.8,1.0006585828387053
527.0,0.9606461758135606
527.2,0.9580336360797626
527.41,0.9640107186514387
527.61,0.9791228839623011
527.81,0.9724356434435311
528.01,1.0034324418729232
528.21,0.9872818777119267
528.41,0.9572213650285866
528.61,0.9822932328650259
528.82,0.9938521084055715
529.02,0.9689463011743733
529.22,0.9873506282490191
529.42,0.9741238547339297
529.62,0.9546093487550695
529.82,0.9939086107088669
530.02,0.9788906425179666
530.22,0.9804387456607143
530.43,0.9795885199191281
530.63,0.9887969781393312
530.83,0.9854970055357586
531.03,0.9907324241279731
531.23,0.9893335875723622
531.43,0.9691274936480067
531.63,0.9820052240897281
531.83,0.9800713408124265
532.03,1.0132156616266923
532.24,0.9875923442784873
532.44,0.9815140746947616
532.64,0.9894879108635967
532.84,0.9657051085574648
533.04,0.9634203411279166
533.24,0.9738855084822434
533.44,0.9891170644782075
533.64,0.9616803743405897
533.84,0.9867705963213483
534.04,0.9869085863731225
534.25,0.9802257745915546
534.45,0.9726778009124603
534.65,0.9748064344814847
534.85,0.9764880390868459
535.05,0.9718582338848459
535.25,0.9799473940214026
535.45,0.9884976039277084
535.65,0.9749852242397069
535.85,0.988114958829105
536.05,0.9876562705720779
536.25,0.9784991136227779
536.46,0.9683662098198598
536.66,0.9837560816991839
536.86,0.9993541074776
537.06,0.979411228086146
537.26,0.9953089039932226
537.46,1.0008633275609948
537.66,0.9721591562166769
537.86,0.9824401193511102
538.06,0.9849366557900185
538.26,0.9845395833214299
538.46,0.9948048975053464
538.66,0.9967691461984589
538.86,0.9937250539139603
539.07,0.9924230064518457
539.27,0.9839534261190124
539.47,0.9873598848856211
539.67,0.9939324801338222
539.87,0.9776559405230072
540.07,0.9955226129901744
540.27,0.9899224911957248
540.47,0.9930662755846564
540.67,0.9924678305532816
540.87,0.9964433796035147
541.07,1.010330049178231
541.27,0.9884547188798647
541.47,1.0004296699462487
541.67,0.9973180199346369
541.87,0.9895147593501799
542.07,0.9976441540082316
542.27,1.0047717657936484
542.47,0.9989348638598925
542.67,0.9772400260608052
542.87,0.99462732108407
543.08,0.999363562098673
543.28,0.9874005271929147
543.48,1.0083390763681237
543.68,1.0065665739777336
543.88,0.9923363371437656
544.08,1.0101534005433856
544.28,1.0028804697168843
544.48,0.9997879215202823
544.68,1.0008489440685568
544.88,1.0145462771910696
545.08,1.00687471913998
545.28,1.0046229245856906
545.48,0.9903524752052358
545.68,0.9843774102677927
545.88,0.9822538110959359
546.08,0.9986151755151995
546.28,0.9921911861220842
546.48,1.00094742115521
546.68,0.9936691973430365
546.88,1.00307579026483
547.08,0.9915575481754471
547.28,0.9809262291073826
547.48,0.9851492519501126
547.68,1.0055731376001351
547.88,1.0057930769411845
548.08,0.9891755229367093
548.28,1.001797140622261
548.48,1.0032938527107398
548.68,0.9930639273186681
548.88,1.0003139234064529
549.08,1.0070366440101661
549.28,1.0079327545910104
549.48,0.9857673162499468
549.68,0.9855776333770044
549.88,1.0086526191291356
550.08,0.9880512916153854
550.28,1.0028205882651353
550.48,1.0091968714697364
550.68,0.9878843525179192
550.88,1.006984644357254
551.08,1.0208867005436928
551.28,1.0028056404362087
551.48,1.0059808165479072
551.68,1.0007264069842576
551.88,1.0076442559763017
552.08,1.0130651033158293
552.28,0.9904796115312243
552.48,0.9735205657690528
552.68,0.9961007529415065
552.88,0.9859705785874694
553.08,1.0056529874562574
553.28,0.9770840088146883
553.48,1.0013189304474035
553.68,0.9837566119253398
553.88,1.0070043595801896
554.08,0.9781017518377677
554.28,0.9990607850740655
554.47,0.9918897599804313
554.67,1.0038535760968885
554.87,1.008411676832924
555.07,1.00700143178641
555.27,0.9984668018479266
555.47,0.99959614199386
555.67,0.999176316735844
555.87,0.9936711905145701
556.07,1.0065203186424603
556.27,1.0049607838781442
556.47,0.9998978181228748
556.67,0.9920355103697405
556.87,1.0060547154021668
557.07,0.999188268138685
557.27,0.986185139158926
557.47,1.010731290184895
557.67,0.9941131520522003
557.87,1.0220592658696988
558.07,1.0091552071063727
558.26,0.995445100351612
558.46,0.9810795219836913
558.66,0.9903357046248332
558.86,0.9786512253398869
559.06,0.9990936073233051
559.26,0.9971772688916103
559.46,0.9949027887979275
559.66,0.9808611885412073
559.86,1.00790075739275
560.06,1.0032308640491197
560.26,1.008108268720567
560.46,1.0032308640491197
560.66,0.988783359789343
560.86,0.9906378896057717
561.05,0.9943555812814462
561.25,0.9927453208678018
561.45,1.0083004389081005
561.65,0.9886693604550402
561.85,0.9859824140191374
562.05,0.9908377344254282
562.25,0.9879737447800003
562.45,1.005357955468152
562.65,0.9939868723900002
562.85,0.996453715997504
563.05,0.9940520276416682
563.24,1.0139007350388671
563.44,0.9887359494446016
563.64,0.9760478359706134
563.84,0.9770091606288531
564.04,1.0039767474711712
564.24,0.9770533665849191
564.44,0.986417952772966
564.64,0.9765300992946558
564.84,1.001284144510673
565.03,1.007004409960613
565.23,1.0063523266846586
565.43,1.0060924851690969
565.63,0.9965775095595821
565.83,0.9763075536855012
566.03,0.9930086710502187
566.23,0.9952155311543663
566.43,1.001171249202578
566.63,0.9990172445304178
566.82,1.0113898893187294
567.02,0.99276792747532
567.22,1.002465368664845
567.42,0.9855998849517503
567.62,0.9814593077321068
567.82,1.0032893237224203
568.02,1.0005797397635787
568.22,0.9921127084141375
568.41,1.0043849087634031
568.61,1.0001946382756168
568.81,0.9947702144692824
569.01,1.0026301763858096
569.21,1.0127833588540678
569.41,1.012735173915309
569.61,0.993305826569189
569.8,1.0173143814265435
570.0,0.9894519534409639
570.2,1.0018312421278603
570.4,1.024460150826424
570.6,1.0107238906752298
570.8,1.0080657142128064
571.0,1.0227549623006815
571.19,1.0153990862385047
571.39,0.9921390134758309
571.59,1.013176280757254
571.79,1.0107594322132618
571.99,1.0259463336725216
572.19,1.0070141918661781
572.38,1.0074306599596565
572.58,0.9923689398007484
572.78,1.0139229344337206
572.98,1.0210241345745354
573.18,1.0323221493331198
573.38,1.0314499548001608
